Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
42	Spectrogram 1	1	53.585944830	53.717168150	0.000	8465.234	0.1312	8465.234	-85.06	Large Training Set.wav
43	Spectrogram 1	1	54.221875950	54.327775470	0.000	11529.709	0.1059	11529.709	-80.45	Large Training Set.wav
44	Spectrogram 1	1	54.633963200	54.914827130	0.000	14715.550	0.2809	14715.550	-67.24	Large Training Set.wav
45	Spectrogram 1	1	55.197993220	55.313101390	91.024	5673.831	0.1151	5582.807	-83.71	Large Training Set.wav
46	Spectrogram 1	1	55.828009760	56.090456380	485.461	12470.291	0.2624	11984.830	-81.57	Large Training Set.wav
47	Spectrogram 1	1	56.152614790	56.283838110	394.437	6250.316	0.1312	5855.879	-84.17	Large Training Set.wav
48	Spectrogram 1	1	56.990676420	57.292259830	303.413	16323.641	0.3016	16020.228	-69.16	Large Training Set.wav
49	Spectrogram 1	1	57.858206310	58.116048610	455.120	11863.464	0.2578	11408.344	-81.18	Large Training Set.wav
50	Spectrogram 1	1	58.198926490	58.309430330	1031.606	6068.268	0.1105	5036.662	-83.80	Large Training Set.wav
51	Spectrogram 1	1	59.221087030	59.504253130	182.048	13896.334	0.2832	13714.286	-71.50	Large Training Set.wav
52	Spectrogram 1	1	60.403163480	60.707049040	0.000	16839.444	0.3039	16839.444	-68.36	Large Training Set.wav
53	Spectrogram 1	1	61.619699630	61.893657070	364.096	6614.412	0.2740	6250.316	-74.41	Large Training Set.wav
54	Spectrogram 1	1	62.810375120	63.158001790	0.000	23787.611	0.3476	23787.611	-68.12	Large Training Set.wav
55	Spectrogram 1	1	64.066209190	64.353979620	91.024	15716.814	0.2878	15625.790	-66.99	Large Training Set.wav
56	Spectrogram 1	1	65.271235950	65.660301560	0.000	16627.054	0.3891	16627.054	-70.47	Large Training Set.wav
57	Spectrogram 1	1	66.574794450	66.809615110	0.000	15231.353	0.2348	15231.353	-69.89	Large Training Set.wav
58	Spectrogram 1	1	67.719964960	68.037663500	0.000	15595.449	0.3177	15595.449	-67.27	Large Training Set.wav
59	Spectrogram 1	1	68.957377770	69.244915420	0.000	14230.088	0.2875	14230.088	-67.52	Large Training Set.wav
60	Spectrogram 1	1	71.330753900	71.498811830	0.000	12257.901	0.1681	12257.901	-85.77	Large Training Set.wav
61	Spectrogram 1	1	72.103049520	72.349381000	1547.408	14715.550	0.2463	13168.142	-78.26	Large Training Set.wav
62	Spectrogram 1	1	72.984778100	73.263339870	0.000	15565.107	0.2786	15565.107	-65.38	Large Training Set.wav
63	Spectrogram 1	1	73.925977210	74.213747640	0.000	21026.549	0.2878	21026.549	-66.09	Large Training Set.wav
64	Spectrogram 1	1	74.870859510	75.137910460	0.000	15322.377	0.2671	15322.377	-70.66	Large Training Set.wav
65	Spectrogram 1	1	75.803694120	76.086860220	849.558	9800.253	0.2832	8950.695	-81.19	Large Training Set.wav
66	Spectrogram 1	1	76.795079550	77.112778100	0.000	18906.122	0.3177	18906.122	-65.04	Large Training Set.wav
67	Spectrogram 1	1	77.799358230	78.140078410	0.000	20016.327	0.3407	20016.327	-65.00	Large Training Set.wav
68	Spectrogram 1	1	78.791590650	79.056339430	303.413	15929.204	0.2647	15625.791	-62.54	Large Training Set.wav
69	Spectrogram 1	1	79.726341720	80.046342430	0.000	16627.054	0.3200	16627.054	-64.73	Large Training Set.wav
70	Spectrogram 1	1	80.726475930	81.037267990	0.000	21289.796	0.3108	21289.796	-64.61	Large Training Set.wav
71	Spectrogram 1	1	81.799358230	82.094035140	333.755	15474.083	0.2947	15140.328	-68.69	Large Training Set.wav
72	Spectrogram 1	1	82.859348690	83.103378010	0.000	13896.334	0.2440	13896.334	-72.34	Large Training Set.wav
73	Spectrogram 1	1	83.836461270	84.117325210	364.096	21551.020	0.2809	21186.924	-65.97	Large Training Set.wav
74	Spectrogram 1	1	84.796373083	85.086445673	281.163	13041.286	0.2901	12760.123	-78.69	Large Training Set.wav
75	Spectrogram 1	1	85.745871610	86.015224720	394.437	7676.359	0.2694	7281.922	-82.51	Large Training Set.wav
76	Spectrogram 1	1	87.694034110	87.935761270	718.367	9893.878	0.2417	9175.511	-85.82	Large Training Set.wav
